Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_THT,1,RaspberryPi_Pico,
C1,0603,1,47u,
"C10, C11, C12, C13, C14",0603,5,10n,
"C15, C17",0603,2,0.01u,
"C16, C18, C19, C2, C9",0603,5,100n,
"C3, C6",0603,2,1000p,
"C4, C7",0603,2,470p,
"C5, C8",CP_Elec_6.3x5.4_Nichicon,2,10u,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-323,9,1N4148WS,
"D10, D11, D12, D13, D14, D15, D16, D17",LED_SK6812MINI_Through,8,SK6812MINI,
J1,Jack_3.5mm_Switronic_ST-005-G_horizontal,1,MIDI In,
J2,Jack_3.5mm_Switronic_ST-005-G_horizontal,1,MIDI Out,
J4,Jack_3.5mm_Switronic_ST-005-G_horizontal,1,Audio Out,
J5,PinHeader_1x04_P2.54mm_Vertical,1,OLED,
"Q1, Q2",SOT-23,2,SS8050,
"R1, R4, R7",0603,3,220,
R10,0603,1,10,
"R11, R12, R13, R14",0603,4,7.5k,
"R15, R16, R17, R18, R19, R20, R21, R22, R23, R5",0603,10,10k,
"R2, R24, R3, R6",0603,4,1k,
R25,0603,1,330,
RV1,ALPS_RK09L_Single_Vertical_15mm,1,Knob1,
RV2,ALPS_RK09L_Single_Vertical_15mm,1,Knob2,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",SW_Cherry_MX_1.00u_Plate,8,SW_Push,
SW10,SW_PUSH_6mm,1,A,
SW11,SW_PUSH_6mm,1,B,
SW12,SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250,1,Rst,
SW9,RotaryEncoder_Alps_EC11E_Vertical_H20mm_CircularMountingHoles,1,Rotary,
TP1,TestPoint_Pad_D1.5mm,1,ADC3,
TP10,TestPoint_Pad_D1.5mm,1,VBUS,
TP11,TestPoint_Pad_D1.5mm,1,I2S_OUT,
TP12,TestPoint_Pad_D1.5mm,1,I2S_BCK,
TP13,TestPoint_Pad_D1.5mm,1,I2S-WS,
TP2,TestPoint_Pad_D1.5mm,1,VREF,
TP3,TestPoint_Pad_D1.5mm,1,N_DO,
TP4,TestPoint_Pad_D1.5mm,1,GP2,
TP5,TestPoint_Pad_D1.5mm,1,GP3,
TP6,TestPoint_Pad_D1.5mm,1,GP22,
TP7,TestPoint_Pad_D1.5mm,1,I2S_IN,
TP8,TestPoint_Pad_D1.5mm,1,GND,
TP9,TestPoint_Pad_D1.5mm,1,3V3,
U1,DIP-8_W7.62mm,1,6N136,
U2,SOP-8_3.76x4.96mm_P1.27mm,1,PT8211,
U3,SOT-23-5,1,74AHCT1G125,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6002-xMC,
