Designator,Mid X,Mid Y,Rotation,Layer
A1,106.519,-102.981,0.0,top
C1,129.379,-110.474,0.0,top
C10,71.213,-114.157,0.0,top
C11,70.705,-110.474,0.0,top
C12,72.102,-104.759,0.0,top
C13,67.276,-122.666,270.0,top
C14,74.642,-120.761,0.0,top
C15,133.316,-134.096,180.0,top
C16,74.528,-152.257,0.0,top
C17,133.824,-122.285,270.0,top
C18,120.362,-92.567,0.0,top
C19,67.225,-147.88,90.0,top
C2,129.379,-112.095,0.0,top
C3,126.507,-97.012,180.0,top
C4,126.507,-100.568,180.0,top
C5,133.095,-90.789,0.0,top
C6,137.887,-100.72,0.0,top
C7,137.887,-97.164,0.0,top
C8,141.698,-92.026,270.0,top
C9,129.06,-102.219,180.0,top
D1,85.691,-134.062,270.0,top
D10,75.5,-147.0,180.0,top
D11,96.083333,-147.0,180.0,top
D12,116.666667,-147.0,180.0,top
D13,137.25,-147.0,180.0,top
D14,75.5,-167.5,180.0,top
D15,96.083333,-167.5,180.0,top
D16,116.666667,-167.5,180.0,top
D17,137.25,-167.5,180.0,top
D2,85.691,-154.509,270.0,top
D3,106.265,-134.13,270.0,top
D4,106.392,-154.509,270.0,top
D5,126.966,-134.096,270.0,top
D6,127.093,-154.67,270.0,top
D7,126.966,-138.321,270.0,top
D8,127.093,-149.971,270.0,top
D9,77.944,-96.25,90.0,top
J1,76.0,-84.75,270.0,top
J2,88.0,-84.75,270.0,top
J4,122.862,-84.753,270.0,top
J5,134.205,-79.867,90.0,top
Q1,83.278,-97.012,0.0,top
Q2,91.152,-97.2,180.0,top
R1,78.447,-93.456,180.0,top
R10,129.379,-113.776,180.0,top
R11,126.507,-95.234,180.0,top
R12,126.507,-98.79,0.0,top
R13,137.887,-102.498,0.0,top
R14,137.887,-98.942,180.0,top
R15,71.086,-107.235,270.0,top
R16,67.466,-114.919,0.0,top
R17,67.466,-111.871,0.0,top
R18,69.435,-121.396,90.0,top
R19,71.594,-121.459,90.0,top
R2,78.447,-91.678,180.0,top
R20,110.011,-131.048,90.0,top
R21,92.93,-131.048,90.0,top
R22,100.55,-131.048,90.0,top
R23,102.582,-131.048,90.0,top
R24,119.6,-94.218,180.0,top
R25,67.225,-141.315,270.0,top
R3,87.342,-98.79,180.0,top
R4,87.85,-91.932,90.0,top
R5,84.802,-91.932,90.0,top
R6,87.342,-94.98,0.0,top
R7,90.39,-91.932,270.0,top
RV1,125.442,-125.534,0.0,top
RV2,139.92,-114.993,0.0,top
SW1,74.865,-139.91,0.0,top
SW10,76.622,-127.075,180.0,top
SW11,87.222,-127.075,180.0,top
SW12,120.108,-100.5,90.0,top
SW2,74.865,-160.41,0.0,top
SW3,95.365,-139.91,0.0,top
SW4,95.365,-160.41,0.0,top
SW5,116.055,-139.91,0.0,top
SW6,116.055,-160.41,0.0,top
SW7,136.745,-139.91,0.0,top
SW8,136.745,-160.41,0.0,top
SW9,81.875,-111.236,90.0,top
U1,71.589,-95.996,180.0,top
U2,123.283,-111.998,270.0,top
U3,71.825,-132.84,0.0,top
U4,132.046,-98.79,90.0,top
